CUSTOMERNAME,PHONE,CONTACTLASTNAME,CONTACTFIRSTNAME
 Technics Stores Inc.                , 6505556809       , Hirano         , Juri            
" ""Oulu Toy Supplies Inc.""           ", 981-443655       , Koskitalo      , Pirkko          
 Mini Auto Werke                     , 7675-3555        , Mendel         , Roland          
" ""Stylish Desk Decors Co.""          ", (171) 555-0297   , Brown          , Ann             
" ""Iberia Gift Imports Corp.""        ", (95) 555 82 82   , Roel           , Jose Pedro      
" ""Saveley & Henriot Co.""            ", 78.32.5555       , Saveley        , Mary            
 Diecast Collectables                , 6175552555       , Franco         , Valarie         
 Handji Gifts& Co                    , +65 224 1555     , Victorino      , Wendy           
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Super Scale Inc.                    , 2035559545       , Murphy         , Leslie          
 Handji Gifts& Co                    , +65 224 1555     , Victorino      , Wendy           
 Souveniers And Things Co.           , +61 2 9495 8555  , Huxley         , Adrian          
 Diecast Classics Inc.               , 2155551555       , Yu             , Kyung           
 Scandinavian Gift Ideas             , 0695-34 6555     , Larsson        , Maria           
 Marta's Replicas Co.                , 6175558555       , Hernandez      , Marta           
 Canadian Gift Exchange Network      , (604) 555-3392   , Tannamuri      , Yoshi           
 Vitachrome Inc.                     , 2125551500       , Frick          , Michael         
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
" ""Corrida Auto Replicas Ltd""        ", (91) 555 22 82   , Sommer         , Martï¿½n          
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Quebec Home Shopping Network        , (514) 555-8054   , Fresnisre      , Jean            
 La Rochelle Gifts                   , 40.67.8555       , Labrune        , Janine          
 Land of Toys Inc.                   , 2125557818       , Yu             , Kwai            
" ""Australian Collectors Co.""        ", 03 9520 4555     , Ferguson       , Peter           
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Toys4GrownUps.com                   , 6265557265       , Young          , Julie           
 Technics Stores Inc.                , 6505556809       , Hirano         , Juri            
 Herkku Gifts                        , +47 2267 3215    , Oeztan         , Veysel          
 Osaka Souveniers Co.                , +81 06 6342 5555 , Kentary        , Mory            
" ""Australian Collectors Co.""        ", 03 9520 4555     , Ferguson       , Peter           
" ""Royal Canadian Collectables Ltd."" ", (604) 555-4555   , Lincoln        , Elizabeth       
 The Sharp Gifts Warehouse           , 4085553659       , Frick          , Sue             
 Gift Depot Inc.                     , 2035552570       , King           , Julie           
 La Rochelle Gifts                   , 40.67.8555       , Labrune        , Janine          
 Marta's Replicas Co.                , 6175558555       , Hernandez      , Marta           
" ""Clover Collections Co.""           ", +353 1862 1555   , Cassidy        , Dean            
 Mini Classics                       , 9145554562       , Frick          , Steve           
 Diecast Classics Inc.               , 2155551555       , Yu             , Kyung           
 Land of Toys Inc.                   , 2125557818       , Yu             , Kwai            
 Enaco Distributors                  , (93) 203 4555    , Saavedra       , Eduardo         
 Gift Ideas Corp.                    , 2035554407       , Lewis          , Dan             
 Suominen Souveniers                 , +358 9 8045 555  , Suominen       , Kalle           
 La Rochelle Gifts                   , 40.67.8555       , Labrune        , Janine          
" ""Dragon Souveniers Ltd.""           ", +65 221 7555     , Natividad      , Eric            
 Tekni Collectables Inc.             , 2015559350       , Brown          , William         
 L'ordine Souveniers                 , 0522-556555      , Moroni         , Maurizio        
 Cruz & Sons Co.                     , +63 2 555 3587   , Cruz           , Arnold          
 Marseille Mini Autos                , 91.24.4555       , Lebihan        , Laurence        
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Toys4GrownUps.com                   , 6265557265       , Young          , Julie           
 Corporate Gift Ideas Co.            , 6505551386       , Brown          , Julie           
" ""Anna's Decorations Ltd""           ", 02 9936 8555     , O'Hara         , Anna            
 Daedalus Designs Imports            , 20.16.1555       , Rance          , Martine         
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Auto Canal Petit                    , (1) 47.55.6555   , Perrier        , Dominique       
 Daedalus Designs Imports            , 20.16.1555       , Rance          , Martine         
 Vitachrome Inc.                     , 2125551500       , Frick          , Michael         
 Auto Canal Petit                    , (1) 47.55.6555   , Perrier        , Dominique       
 Gifts4AllAges.com                   , 6175559555       , Yoshido        , Juri            
 Online Mini Collectables            , 6175557555       , Barajas        , Miguel          
 Marta's Replicas Co.                , 6175558555       , Hernandez      , Marta           
" ""Toys of Finland Co.""              ", 90-224 8555      , Karttunen      , Matti           
" ""Toms Spezialitten Ltd""            ", 0221-5554327     , Pfalzheim      , Henriette       
 Microscale Inc.                     , 2125551957       , Kuo            , Kee             
 Motor Mint Distributors Inc.        , 2155559857       , Hernandez      , Rosa            
 Reims Collectables                  , 26.47.1555       , Henriot        , Paul            
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Marseille Mini Autos                , 91.24.4555       , Lebihan        , Laurence        
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
" ""UK Collectables Ltd.""             ", (171) 555-2282   , Devon          , Elizabeth       
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
" ""La Corne D'abondance Co.""         ", (1) 42.34.2555   , Bertrand       , Marie           
 Muscle Machine Inc                  , 2125557413       , Young          , Jeff            
 Suominen Souveniers                 , +358 9 8045 555  , Suominen       , Kalle           
" ""Oulu Toy Supplies Inc.""           ", 981-443655       , Koskitalo      , Pirkko          
" ""Dragon Souveniers Ltd.""           ", +65 221 7555     , Natividad      , Eric            
" ""Stylish Desk Decors Co.""          ", (171) 555-0297   , Brown          , Ann             
" ""Iberia Gift Imports Corp.""        ", (95) 555 82 82   , Roel           , Jose Pedro      
 Mini Classics                       , 9145554562       , Frick          , Steve           
 Diecast Collectables                , 6175552555       , Franco         , Valarie         
 Signal Collectibles Ltd.            , 4155554312       , Taylor         , Sue             
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Handji Gifts& Co                    , +65 224 1555     , Victorino      , Wendy           
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Diecast Classics Inc.               , 2155551555       , Yu             , Kyung           
 Land of Toys Inc.                   , 2125557818       , Yu             , Kwai            
 Marta's Replicas Co.                , 6175558555       , Hernandez      , Marta           
 Canadian Gift Exchange Network      , (604) 555-3392   , Tannamuri      , Yoshi           
 Baane Mini Imports                  , 07-98 9555       , Bergulfsen     , Jonas           
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Muscle Machine Inc                  , 2125557413       , Young          , Jeff            
 Reims Collectables                  , 26.47.1555       , Henriot        , Paul            
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 La Rochelle Gifts                   , 40.67.8555       , Labrune        , Janine          
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Royale Belge                        , (071) 23 67 2555 , Cartrain       , Pascale         
 Muscle Machine Inc                  , 2125557413       , Young          , Jeff            
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
" ""Australian Gift Network Co""       ", 61-7-3844-6555   , Calaghan       , Tony            
" ""Dragon Souveniers Ltd.""           ", +65 221 7555     , Natividad      , Eric            
 L'ordine Souveniers                 , 0522-556555      , Moroni         , Maurizio        
" ""Iberia Gift Imports Corp.""        ", (95) 555 82 82   , Roel           , Jose Pedro      
 Mini Classics                       , 9145554562       , Frick          , Steve           
 Diecast Collectables                , 6175552555       , Franco         , Valarie         
" ""Clover Collections Co.""           ", +353 1862 1555   , Cassidy        , Dean            
" ""Blauer See Auto Co.""              ", +49 69 66 90 2555, Keitel         , Roland          
 Suominen Souveniers                 , +358 9 8045 555  , Suominen       , Kalle           
 Diecast Classics Inc.               , 2155551555       , Yu             , Kyung           
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Land of Toys Inc.                   , 2125557818       , Yu             , Kwai            
" ""AV Stores Co.""                    ", (171) 555-1555   , Ashworth       , Victoria        
 Heintze Collectables                , 86 21 3555       , Ibsen          , Palle           
 Baane Mini Imports                  , 07-98 9555       , Bergulfsen     , Jonas           
" ""La Corne D'abondance Co.""         ", (1) 42.34.2555   , Bertrand       , Marie           
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Reims Collectables                  , 26.47.1555       , Henriot        , Paul            
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Gift Depot Inc.                     , 2035552570       , King           , Julie           
 Baane Mini Imports                  , 07-98 9555       , Bergulfsen     , Jonas           
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
" ""Corrida Auto Replicas Ltd""        ", (91) 555 22 82   , Sommer         , Martï¿½n          
 Technics Stores Inc.                , 6505556809       , Hirano         , Juri            
" ""Dragon Souveniers Ltd.""           ", +65 221 7555     , Natividad      , Eric            
 Mini Auto Werke                     , 7675-3555        , Mendel         , Roland          
" ""Stylish Desk Decors Co.""          ", (171) 555-0297   , Brown          , Ann             
" ""Classic Gift Ideas Inc""           ", 2155554695       , Cervantes      , Francisca       
" ""Saveley & Henriot Co.""            ", 78.32.5555       , Saveley        , Mary            
 Canadian Gift Exchange Network      , (604) 555-3392   , Tannamuri      , Yoshi           
 Handji Gifts& Co                    , +65 224 1555     , Victorino      , Wendy           
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Super Scale Inc.                    , 2035559545       , Murphy         , Leslie          
" ""Tokyo Collectables Ltd""           ", +81 3 3584 0555  , Shimamura      , Akiko           
 Souveniers And Things Co.           , +61 2 9495 8555  , Huxley         , Adrian          
 Diecast Classics Inc.               , 2155551555       , Yu             , Kyung           
 Scandinavian Gift Ideas             , 0695-34 6555     , Larsson        , Maria           
 Auto Assoc. & Cie.                  , 30.59.8555       , Tonini         , Daniel          
 Canadian Gift Exchange Network      , (604) 555-3392   , Tannamuri      , Yoshi           
 Vitachrome Inc.                     , 2125551500       , Frick          , Michael         
 Mini Wheels Co.                     , 6505555787       , Murphy         , Julie           
" ""Corrida Auto Replicas Ltd""        ", (91) 555 22 82   , Sommer         , Martï¿½n          
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
" ""Anna's Decorations Ltd""           ", 02 9936 8555     , O'Hara         , Anna            
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Quebec Home Shopping Network        , (514) 555-8054   , Fresnisre      , Jean            
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Rovelli Gifts                       , 035-640555       , Rovelli        , Giovanni        
" ""Australian Collectors Co.""        ", 03 9520 4555     , Ferguson       , Peter           
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Royale Belge                        , (071) 23 67 2555 , Cartrain       , Pascale         
 Technics Stores Inc.                , 6505556809       , Hirano         , Juri            
 Osaka Souveniers Co.                , +81 06 6342 5555 , Kentary        , Mory            
" ""Australian Collectors Co.""        ", 03 9520 4555     , Ferguson       , Peter           
" ""Royal Canadian Collectables Ltd."" ", (604) 555-4555   , Lincoln        , Elizabeth       
 The Sharp Gifts Warehouse           , 4085553659       , Frick          , Sue             
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 La Rochelle Gifts                   , 40.67.8555       , Labrune        , Janine          
" ""Norway Gifts By Mail Co.""         ", +47 2212 1555    , Klaeboe        , Jan             
" ""Clover Collections Co.""           ", +353 1862 1555   , Cassidy        , Dean            
 Mini Classics                       , 9145554562       , Frick          , Steve           
 giftsbymail.co.uk                   , (198) 555-8888   , Bennett        , Helen           
 Rovelli Gifts                       , 035-640555       , Rovelli        , Giovanni        
 Enaco Distributors                  , (93) 203 4555    , Saavedra       , Eduardo         
 Gift Ideas Corp.                    , 2035554407       , Lewis          , Dan             
 Souveniers And Things Co.           , +61 2 9495 8555  , Huxley         , Adrian          
 La Rochelle Gifts                   , 40.67.8555       , Labrune        , Janine          
 FunGiftIdeas.com                    , 5085552555       , Benitez        , Violeta         
 Reims Collectables                  , 26.47.1555       , Henriot        , Paul            
 Tekni Collectables Inc.             , 2015559350       , Brown          , William         
 L'ordine Souveniers                 , 0522-556555      , Moroni         , Maurizio        
 Cruz & Sons Co.                     , +63 2 555 3587   , Cruz           , Arnold          
 Reims Collectables                  , 26.47.1555       , Henriot        , Paul            
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Toys4GrownUps.com                   , 6265557265       , Young          , Julie           
 Corporate Gift Ideas Co.            , 6505551386       , Brown          , Julie           
" ""Anna's Decorations Ltd""           ", 02 9936 8555     , O'Hara         , Anna            
 Daedalus Designs Imports            , 20.16.1555       , Rance          , Martine         
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Auto Canal Petit                    , (1) 47.55.6555   , Perrier        , Dominique       
 Daedalus Designs Imports            , 20.16.1555       , Rance          , Martine         
 Vitachrome Inc.                     , 2125551500       , Frick          , Michael         
 Auto Canal Petit                    , (1) 47.55.6555   , Perrier        , Dominique       
 Gifts4AllAges.com                   , 6175559555       , Yoshido        , Juri            
 Online Mini Collectables            , 6175557555       , Barajas        , Miguel          
 Marta's Replicas Co.                , 6175558555       , Hernandez      , Marta           
" ""Toys of Finland Co.""              ", 90-224 8555      , Karttunen      , Matti           
 Baane Mini Imports                  , 07-98 9555       , Bergulfsen     , Jonas           
 Microscale Inc.                     , 2125551957       , Kuo            , Kee             
 Motor Mint Distributors Inc.        , 2155559857       , Hernandez      , Rosa            
 Salzburg Collectables               , 6562-9555        , Pipps          , Georg           
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Mini Creations Ltd.                 , 5085559555       , Tam            , Wing C          
 La Rochelle Gifts                   , 40.67.8555       , Labrune        , Janine          
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
" ""UK Collectables Ltd.""             ", (171) 555-2282   , Devon          , Elizabeth       
 Rovelli Gifts                       , 035-640555       , Rovelli        , Giovanni        
" ""Australian Collectors Co.""        ", 03 9520 4555     , Ferguson       , Peter           
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Mini Creations Ltd.                 , 5085559555       , Tam            , Wing C          
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Technics Stores Inc.                , 6505556809       , Hirano         , Juri            
 West Coast Collectables Co.         , 3105553722       , Thompson       , Steve           
 Osaka Souveniers Co.                , +81 06 6342 5555 , Kentary        , Mory            
" ""Australian Collectors Co.""        ", 03 9520 4555     , Ferguson       , Peter           
" ""Royal Canadian Collectables Ltd."" ", (604) 555-4555   , Lincoln        , Elizabeth       
 The Sharp Gifts Warehouse           , 4085553659       , Frick          , Sue             
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 La Rochelle Gifts                   , 40.67.8555       , Labrune        , Janine          
" ""Norway Gifts By Mail Co.""         ", +47 2212 1555    , Klaeboe        , Jan             
" ""Bavarian Collectables Imports Co.""", +49 89 61 08 9555, Donnermeyer    , Michael         
 Mini Classics                       , 9145554562       , Frick          , Steve           
 giftsbymail.co.uk                   , (198) 555-8888   , Bennett        , Helen           
 Rovelli Gifts                       , 035-640555       , Rovelli        , Giovanni        
 Enaco Distributors                  , (93) 203 4555    , Saavedra       , Eduardo         
 Gift Ideas Corp.                    , 2035554407       , Lewis          , Dan             
 Souveniers And Things Co.           , +61 2 9495 8555  , Huxley         , Adrian          
 La Rochelle Gifts                   , 40.67.8555       , Labrune        , Janine          
 FunGiftIdeas.com                    , 5085552555       , Benitez        , Violeta         
 Reims Collectables                  , 26.47.1555       , Henriot        , Paul            
 Tekni Collectables Inc.             , 2015559350       , Brown          , William         
 L'ordine Souveniers                 , 0522-556555      , Moroni         , Maurizio        
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Classic Legends Inc.                , 2125558493       , Hernandez      , Maria           
 Muscle Machine Inc                  , 2125557413       , Young          , Jeff            
 Suominen Souveniers                 , +358 9 8045 555  , Suominen       , Kalle           
" ""Oulu Toy Supplies Inc.""           ", 981-443655       , Koskitalo      , Pirkko          
" ""Dragon Souveniers Ltd.""           ", +65 221 7555     , Natividad      , Eric            
 L'ordine Souveniers                 , 0522-556555      , Moroni         , Maurizio        
" ""Iberia Gift Imports Corp.""        ", (95) 555 82 82   , Roel           , Jose Pedro      
 Mini Classics                       , 9145554562       , Frick          , Steve           
 Diecast Collectables                , 6175552555       , Franco         , Valarie         
" ""Clover Collections Co.""           ", +353 1862 1555   , Cassidy        , Dean            
" ""Blauer See Auto Co.""              ", +49 69 66 90 2555, Keitel         , Roland          
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Handji Gifts& Co                    , +65 224 1555     , Victorino      , Wendy           
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Land of Toys Inc.                   , 2125557818       , Yu             , Kwai            
 Marta's Replicas Co.                , 6175558555       , Hernandez      , Marta           
 Heintze Collectables                , 86 21 3555       , Ibsen          , Palle           
 Baane Mini Imports                  , 07-98 9555       , Bergulfsen     , Jonas           
" ""La Corne D'abondance Co.""         ", (1) 42.34.2555   , Bertrand       , Marie           
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Reims Collectables                  , 26.47.1555       , Henriot        , Paul            
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Lyon Souveniers                     , +33 1 46 62 7555 , Da Cunha       , Daniel          
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 La Rochelle Gifts                   , 40.67.8555       , Labrune        , Janine          
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
" ""Dragon Souveniers Ltd.""           ", +65 221 7555     , Natividad      , Eric            
 Muscle Machine Inc                  , 2125557413       , Young          , Jeff            
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
" ""Dragon Souveniers Ltd.""           ", +65 221 7555     , Natividad      , Eric            
 L'ordine Souveniers                 , 0522-556555      , Moroni         , Maurizio        
 Mini Creations Ltd.                 , 5085559555       , Tam            , Wing C          
 Super Scale Inc.                    , 2035559545       , Murphy         , Leslie          
" ""Saveley & Henriot Co.""            ", 78.32.5555       , Saveley        , Mary            
" ""Clover Collections Co.""           ", +353 1862 1555   , Cassidy        , Dean            
" ""Blauer See Auto Co.""              ", +49 69 66 90 2555, Keitel         , Roland          
 Suominen Souveniers                 , +358 9 8045 555  , Suominen       , Kalle           
 Diecast Classics Inc.               , 2155551555       , Yu             , Kyung           
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Land of Toys Inc.                   , 2125557818       , Yu             , Kwai            
" ""AV Stores Co.""                    ", (171) 555-1555   , Ashworth       , Victoria        
 Heintze Collectables                , 86 21 3555       , Ibsen          , Palle           
 Baane Mini Imports                  , 07-98 9555       , Bergulfsen     , Jonas           
 Classic Legends Inc.                , 2125558493       , Hernandez      , Maria           
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Reims Collectables                  , 26.47.1555       , Henriot        , Paul            
" ""Tokyo Collectables Ltd""           ", +81 3 3584 0555  , Shimamura      , Akiko           
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Lyon Souveniers                     , +33 1 46 62 7555 , Da Cunha       , Daniel          
 Gift Depot Inc.                     , 2035552570       , King           , Julie           
 Cruz & Sons Co.                     , +63 2 555 3587   , Cruz           , Arnold          
 Reims Collectables                  , 26.47.1555       , Henriot        , Paul            
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Toys4GrownUps.com                   , 6265557265       , Young          , Julie           
 Corporate Gift Ideas Co.            , 6505551386       , Brown          , Julie           
" ""Anna's Decorations Ltd""           ", 02 9936 8555     , O'Hara         , Anna            
 Daedalus Designs Imports            , 20.16.1555       , Rance          , Martine         
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Auto Canal Petit                    , (1) 47.55.6555   , Perrier        , Dominique       
 Daedalus Designs Imports            , 20.16.1555       , Rance          , Martine         
 Vitachrome Inc.                     , 2125551500       , Frick          , Michael         
 Auto Canal Petit                    , (1) 47.55.6555   , Perrier        , Dominique       
 Gifts4AllAges.com                   , 6175559555       , Yoshido        , Juri            
 Online Mini Collectables            , 6175557555       , Barajas        , Miguel          
 Marta's Replicas Co.                , 6175558555       , Hernandez      , Marta           
" ""Toys of Finland Co.""              ", 90-224 8555      , Karttunen      , Matti           
 Baane Mini Imports                  , 07-98 9555       , Bergulfsen     , Jonas           
 Microscale Inc.                     , 2125551957       , Kuo            , Kee             
 Motor Mint Distributors Inc.        , 2155559857       , Hernandez      , Rosa            
 Salzburg Collectables               , 6562-9555        , Pipps          , Georg           
 Lyon Souveniers                     , +33 1 46 62 7555 , Da Cunha       , Daniel          
 Mini Creations Ltd.                 , 5085559555       , Tam            , Wing C          
 La Rochelle Gifts                   , 40.67.8555       , Labrune        , Janine          
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
" ""UK Collectables Ltd.""             ", (171) 555-2282   , Devon          , Elizabeth       
 Danish Wholesale Imports            , 31 12 3555       , Petersen       , Jytte           
 Salzburg Collectables               , 6562-9555        , Pipps          , Georg           
" ""Stylish Desk Decors Co.""          ", (171) 555-0297   , Brown          , Ann             
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Scandinavian Gift Ideas             , 0695-34 6555     , Larsson        , Maria           
 CAF Imports                         , +34 913 728 555  , Fernandez      , Jesus           
 Mini Creations Ltd.                 , 5085559555       , Tam            , Wing C          
 Enaco Distributors                  , (93) 203 4555    , Saavedra       , Eduardo         
" ""Saveley & Henriot Co.""            ", 78.32.5555       , Saveley        , Mary            
 Collectable Mini Designs Co.        , 7605558146       , Thompson       , Valarie         
 Tekni Collectables Inc.             , 2015559350       , Brown          , William         
 Land of Toys Inc.                   , 2125557818       , Yu             , Kwai            
 Quebec Home Shopping Network        , (514) 555-8054   , Fresnisre      , Jean            
 Petit Auto                          , (02) 5554 67     , Dewey          , Catherine       
" ""Royal Canadian Collectables Ltd."" ", (604) 555-4555   , Lincoln        , Elizabeth       
 Gifts4AllAges.com                   , 6175559555       , Yoshido        , Juri            
" ""AV Stores Co.""                    ", (171) 555-1555   , Ashworth       , Victoria        
 La Rochelle Gifts                   , 40.67.8555       , Labrune        , Janine          
" ""Volvo Model Replicas Co""          ", 0921-12 3555     , Berglund       , Christina       
" ""Tokyo Collectables Ltd""           ", +81 3 3584 0555  , Shimamura      , Akiko           
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
" ""Oulu Toy Supplies Inc.""           ", 981-443655       , Koskitalo      , Pirkko          
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Gifts4AllAges.com                   , 6175559555       , Yoshido        , Juri            
 Rovelli Gifts                       , 035-640555       , Rovelli        , Giovanni        
" ""Australian Collectors Co.""        ", 03 9520 4555     , Ferguson       , Peter           
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Mini Creations Ltd.                 , 5085559555       , Tam            , Wing C          
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Technics Stores Inc.                , 6505556809       , Hirano         , Juri            
 West Coast Collectables Co.         , 3105553722       , Thompson       , Steve           
 Osaka Souveniers Co.                , +81 06 6342 5555 , Kentary        , Mory            
" ""Australian Collectors Co.""        ", 03 9520 4555     , Ferguson       , Peter           
" ""Royal Canadian Collectables Ltd."" ", (604) 555-4555   , Lincoln        , Elizabeth       
 The Sharp Gifts Warehouse           , 4085553659       , Frick          , Sue             
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 La Rochelle Gifts                   , 40.67.8555       , Labrune        , Janine          
" ""Norway Gifts By Mail Co.""         ", +47 2212 1555    , Klaeboe        , Jan             
" ""Bavarian Collectables Imports Co.""", +49 89 61 08 9555, Donnermeyer    , Michael         
 Mini Classics                       , 9145554562       , Frick          , Steve           
 giftsbymail.co.uk                   , (198) 555-8888   , Bennett        , Helen           
 Rovelli Gifts                       , 035-640555       , Rovelli        , Giovanni        
 Enaco Distributors                  , (93) 203 4555    , Saavedra       , Eduardo         
 Gift Ideas Corp.                    , 2035554407       , Lewis          , Dan             
 Souveniers And Things Co.           , +61 2 9495 8555  , Huxley         , Adrian          
 La Rochelle Gifts                   , 40.67.8555       , Labrune        , Janine          
 FunGiftIdeas.com                    , 5085552555       , Benitez        , Violeta         
 Reims Collectables                  , 26.47.1555       , Henriot        , Paul            
 Tekni Collectables Inc.             , 2015559350       , Brown          , William         
 L'ordine Souveniers                 , 0522-556555      , Moroni         , Maurizio        
 Danish Wholesale Imports            , 31 12 3555       , Petersen       , Jytte           
" ""Dragon Souveniers Ltd.""           ", +65 221 7555     , Natividad      , Eric            
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 FunGiftIdeas.com                    , 5085552555       , Benitez        , Violeta         
 CAF Imports                         , +34 913 728 555  , Fernandez      , Jesus           
 Mini Creations Ltd.                 , 5085559555       , Tam            , Wing C          
 Super Scale Inc.                    , 2035559545       , Murphy         , Leslie          
" ""Saveley & Henriot Co.""            ", 78.32.5555       , Saveley        , Mary            
 Petit Auto                          , (02) 5554 67     , Dewey          , Catherine       
 giftsbymail.co.uk                   , (198) 555-8888   , Bennett        , Helen           
 Land of Toys Inc.                   , 2125557818       , Yu             , Kwai            
 Petit Auto                          , (02) 5554 67     , Dewey          , Catherine       
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Amica Models & Co.                  , 011-4988555      , Accorti        , Paolo           
" ""AV Stores Co.""                    ", (171) 555-1555   , Ashworth       , Victoria        
 Heintze Collectables                , 86 21 3555       , Ibsen          , Palle           
 Danish Wholesale Imports            , 31 12 3555       , Petersen       , Jytte           
 Classic Legends Inc.                , 2125558493       , Hernandez      , Maria           
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
" ""Tokyo Collectables Ltd""           ", +81 3 3584 0555  , Shimamura      , Akiko           
 Corporate Gift Ideas Co.            , 6505551386       , Brown          , Julie           
 Alpha Cognac                        , 61.77.6555       , Roulet         , Annette         
 Gifts4AllAges.com                   , 6175559555       , Yoshido        , Juri            
 Rovelli Gifts                       , 035-640555       , Rovelli        , Giovanni        
 Salzburg Collectables               , 6562-9555        , Pipps          , Georg           
 Gift Ideas Corp.                    , 2035554407       , Lewis          , Dan             
 Mini Creations Ltd.                 , 5085559555       , Tam            , Wing C          
" ""Toys of Finland Co.""              ", 90-224 8555      , Karttunen      , Matti           
